input,output
1,0.419669686
1,0.570434657
1,0.657337292
1,0.703092638
1,0.726431118
1,0.738192519
0,0.444091651
1,0.537044904
0,0.331522268
0,0.178361097
1,0.391700541
0,0.256354269
0,0.140277934
0,0.072559127
1,0.336763596
0,0.228478604
0,0.126258663
0,0.065533204
0,0.033247376
1,0.316719843
0,0.218379153
0,0.121193422
1,0.36299748
0,0.241978894
1,0.433085478
0,0.278961945
1,0.451964814
0,0.288479175
0,0.156738941
0,0.080869341
0,0.040934645
0,0.020567317
0,0.010303658
0,0.005155829
1,0.302578714
0,0.211289517
1,0.417644791
0,0.271222402
0,0.148091202
1,0.376541601
1,0.548770001
0,0.34648484
0,0.187662388
0,0.096715188
1,0.348934393
1,0.534582556
1,0.63931435
0,0.394061789
0,0.211911818
1,0.408932093
1,0.565061284
0,0.354649689
1,0.491748654
1,0.608759089
1,0.676956497
0,0.412993639
1,0.521399898
1,0.623680564
1,0.684436405
0,0.416737427
0,0.223272559
0,0.114617048
1,0.357904678
1,0.53907157
1,0.641559631
1,0.695184585
1,0.722473246
0,0.436212814
1,0.533101645
0,0.32954987
1,0.477374745
0,0.301207334
1,0.463107659
1,0.594054628
0,0.369527474
0,0.199263769
0,0.102531891
0,0.051845947
1,0.326038974
1,0.523042687
1,0.633525983
0,0.39116392
0,0.210462145
0,0.10820711
0,0.054698762
0,0.027468423
1,0.31375802
0,0.216883771
0,0.120442838
0,0.06262161
1,0.331790843
1,0.525991429
1,0.635014916
0,0.391911298
0,0.210836417
0,0.108394362
0,0.054792412
1,0.327515252
1,0.523781435
1,0.633895479
0,0.391348692
1,0.510554537
0,0.318253306
1,0.471721861
0,0.298379972
0,0.161693794
1,0.383347659
0,0.252173982
0,0.138187021
0,0.071513517
0,0.03624076
1,0.31821718
1,0.51912795
1,0.631567847
1,0.690184698
1,0.719972504
0,0.434962283
0,0.232476348
1,0.419237215
0,0.270218416
1,0.44722917
1,0.586038577
1,0.665504087
0,0.407249003
0,0.218523894
1,0.412241825
1,0.566716888
0,0.355477639
1,0.492162659
0,0.308966097
0,0.167060002
0,0.086045392
1,0.343525774
0,0.231863503
0,0.127951874
1,0.366379962
1,0.543670786
1,0.643931554
1,0.696385009
1,0.723076351
0,0.436514945
1,0.533252826
1,0.629625484
1,0.687412556
0,0.418226241
0,0.224017113
1,0.414989355
0,0.268090837
0,0.146164651
1,0.375506172
1,0.548237855
1,0.646215881
0,0.397527331
0,0.213647544
1,0.409800548
1,0.565495629
1,0.654866885
0,0.401857257
1,0.515813391
1,0.620883648
1,0.683037215
0,0.416037685
0,0.222922658
0,0.114442092
1,0.357817199
0,0.23902783
0,0.131537761
0,0.06817365
0,0.034567779
1,0.31738008
0,0.218709278
0,0.121358487
0,0.063080013
0,0.03202016
1,0.316106111
0,0.218072262
1,0.421039972
1,0.572920754
1,0.658940531
0,0.403966296
0,0.216882354
1,0.411421018
0,0.266306477
